id,yelpid,name,cost,address,city,st,zip,website
109,/biz/filini-chicago,Filini,2,221 N Columbus Dr,Chicago,IL,60601,filinichicago.com
110,/biz/bistrot-zinc-chicago,Bistrot Zinc,2,1131 N State St,Chicago,IL,60610,bistrotzinc.com
111,/biz/the-doughnut-vault-chicago,The Doughnut Vault,1,401 1/2 N Franklin St,Chicago,IL,60654,doughnutvault.com
112,/biz/3-arts-club-cafe-chicago-2,3 Arts Club Cafe,2,Restoration Hardware,Chicago,IL,60610,3artscafe.com
113,/biz/hannahs-bretzel-chicago-2,Hannahs Bretzel,2,180 W Washington St,Chicago,IL,60602,hannahsbretzel.com
114,/biz/snap-kitchen-chicago-3,Snap Kitchen,2,1226 N. Wells,Chicago,IL,60610,snapkitchen.com
115,/biz/theory-chicago-2,Theory,2,9 W Hubbard St,Chicago,IL,60654,theorychicago.com
116,/biz/siena-tavern-chicago,Siena Tavern,3,51 W Kinzie St,Chicago,IL,60654,sienatavern.com
117,/biz/intelligentsia-coffee-chicago-6,Intelligentsia Coffee,2,53 E Randolph St,Chicago,IL,60601,intelligentsiacoffee.com
118,/biz/kanela-breakfast-club-chicago-2,Kanela Breakfast Club,2,1552 N Wells St,Chicago,IL,60610,kanelacafe.com
119,/biz/current-chicago,Current,2,644 N Lake Shore Dr,Chicago,IL,60611,currentchicago.com
120,/biz/cochon-volant-chicago,Cochon Volant,2,100 W Monroe St,Chicago,IL,60603,cochonvolantchicago.com
121,/biz/la-fournette-chicago,La Fournette,2,1547 N Wells St,Chicago,IL,60610,lafournette.com
122,/biz/freshii-chicago-3,Freshii,1,835 N Michigan Ave,Chicago,IL,60611,freshii.com
123,/biz/the-signature-room-at-the-95th-chicago-2,The Signature Room at the 95th,3,John Hancock Center,Chicago,IL,60611,signatureroom.com
124,/biz/hi-vibe-superfood-juicery-chicago-3,Hi-Vibe Superfood Juicery,2,160 W Kinzie St,Chicago,IL,60654,hi-vibe.com/home
125,/biz/luxbar-chicago,Luxbar,2,18 E Bellevue Pl,Chicago,IL,60611,luxbar.com
126,/biz/tavern-on-rush-chicago,Tavern On Rush,3,1031 N Rush St,Chicago,IL,60611,tavernonrush.com
127,/biz/happy-camper-chicago-2,Happy Camper,2,1209 N Wells St,Chicago,IL,60610,happycamperchicago.com
128,/biz/weber-grill-restaurant-chicago,Weber Grill Restaurant,2,539 N State St,Chicago,IL,60654,webergrillrestaurant.com
